id,name,city,state,kind,year_founded,annual_visits,has_makerspace
92,Wexford Public Library,Wexford,IL,research,1958,21805,false
93,Oakhollow Library,Oakhollow,VT,branch,1947,53206,false
94,Kingsford Public Library,Kingsford,OR,branch,1872,8547,true
95,Glenmoor Library,Glenmoor,CO,branch,1994,47063,false
96,Cedar Falls Public Library,Cedar Falls,GA,bookmobile,1997,7914,false
97,Dunmore Public Library,Dunmore,TX,central,2012,166774,false
98,Quarry Hill Memorial Library,Quarry Hill,GA,research,2007,21164,false
99,Orchard Park Public Library,Orchard Park,OH,central,2014,410531,false
100,Eastwick Free Library,Eastwick,ME,branch,1948,19489,false
101,Redstone Library,Redstone,AZ,branch,1976,11464,false
102,Bramblewood Public Library,Bramblewood,WI,bookmobile,1953,1785,true
103,Northgate Public Library,Northgate,AZ,branch,1960,49053,false
104,Ashgrove District Library,Ashgrove,NH,bookmobile,1954,8556,false
105,Belfry District Library,Belfry,MA,central,1887,246970,false
106,Orchard Park Memorial Library,Orchard Park,GA,branch,2022,32030,false
107,Pinehurst Community Library,Pinehurst,NH,branch,2011,52212,false
108,Oakhollow Memorial Library,Oakhollow,IL,bookmobile,1905,705,true
109,Underhill Free Library,Underhill,OH,central,1864,318007,false
110,Darnley Free Library,Darnley,OR,branch,1882,67806,false
111,Juniper Bend Community Library,Juniper Bend,CO,branch,1963,20615,false
112,Ashgrove Free Library,Ashgrove,NM,branch,2013,57393,false
113,Kingsford Library,Kingsford,MA,bookmobile,1931,4203,false
114,Ironwood Community Library,Ironwood,AK,research,1930,13015,false
115,Alderton Memorial Library,Alderton,MA,branch,2014,32956,false
116,Westmill District Library,Westmill,VT,central,2000,335059,false
117,Linden Grove Community Library,Linden Grove,NC,central,1870,320352,false
118,Ashgrove Library,Ashgrove,VT,central,1943,486852,false
119,Elmridge Community Library,Elmridge,ME,branch,1929,37998,false
120,Linden Grove District Library,Linden Grove,AK,bookmobile,1915,2942,false
121,Umberton Community Library,Umberton,MA,branch,2011,15732,false
122,Pinehurst Memorial Library,Pinehurst,NY,branch,1876,79066,false
123,Ambrose Memorial Library,Ambrose,MI,branch,1970,75918,false
124,Elmridge Public Library,Elmridge,CO,central,1937,403985,true
125,Eastwick Public Library,Eastwick,OR,branch,1977,33070,false
126,Holloway Library,Holloway,VT,branch,1926,83816,false
127,Yarrow Creek Free Library,Yarrow Creek,NM,branch,1888,20356,false
128,Vinewood District Library,Vinewood,AK,research,1882,4448,false
129,Juniper Bend District Library,Juniper Bend,OR,central,1861,201576,false
130,Pembroke Memorial Library,Pembroke,MI,branch,2012,31238,true
131,Linden Grove Public Library,Linden Grove,AK,research,1905,11419,false
132,Saltmarsh District Library,Saltmarsh,FL,branch,1889,56720,false
133,Belfry Memorial Library,Belfry,WI,central,1897,408277,true
134,Ravenna Community Library,Ravenna,TX,branch,1916,20374,true
135,Cranemere Free Library,Cranemere,GA,branch,1871,41042,false
136,Cedar Falls District Library,Cedar Falls,AK,branch,1978,24774,true
137,Alderton Public Library,Alderton,AK,branch,1943,8041,false
138,Stonebridge Memorial Library,Stonebridge,WA,research,1934,22117,false
139,Wexford Memorial Library,Wexford,TX,central,1944,404385,true
140,Oakhollow Public Library,Oakhollow,NY,research,1899,23686,false
141,Ironwood Memorial Library,Ironwood,AK,branch,1892,80304,false
142,Granville Library,Granville,IL,branch,1892,84440,false
143,Holloway District Library,Holloway,PA,research,1871,8259,false
144,Umberton Free Library,Umberton,ME,branch,1932,27135,false
145,Ambrose Community Library,Ambrose,WI,bookmobile,1898,2862,false
146,Kingsford Community Library,Kingsford,AZ,branch,1920,87494,false
147,Saltmarsh Library,Saltmarsh,FL,central,1917,436717,false
148,Ashgrove Community Library,Ashgrove,NH,branch,1860,52513,true
149,Redstone District Library,Redstone,AK,bookmobile,2019,6340,true
150,Thornbury Public Library,Thornbury,WA,branch,1960,32031,false
151,Belfry Community Library,Belfry,CO,branch,1933,58048,true
152,Holloway Free Library,Holloway,NH,branch,1992,81016,true
153,Linden Grove Library,Linden Grove,NH,central,1906,196401,false
154,Fernhill Memorial Library,Fernhill,OH,branch,2024,83236,false
155,Fernhill Free Library,Fernhill,ME,branch,1873,83033,false
156,Oakhollow Community Library,Oakhollow,NC,bookmobile,1894,6719,false
157,Darnley District Library,Darnley,OR,branch,1857,74131,false
158,Glenmoor Free Library,Glenmoor,WA,research,2013,18357,false
159,Fairhaven Memorial Library,Fairhaven,ME,central,1950,151456,false
160,Brightwater Free Library,Brightwater,OH,branch,1909,18312,false
161,Yarrow Creek District Library,Yarrow Creek,WA,branch,1955,18174,false
162,Vinewood Library,Vinewood,TX,branch,1997,55683,false
163,Brightwater Memorial Library,Brightwater,CA,central,1864,204479,false
164,Tamworth Library,Tamworth,MN,branch,1888,76856,false
165,Netherfield Free Library,Netherfield,NY,branch,1899,74369,false
166,Oakhollow District Library,Oakhollow,CA,central,1935,405047,true
167,Kestrel Bay District Library,Kestrel Bay,CO,branch,1935,62443,false
168,Granville Public Library,Granville,CA,bookmobile,1973,1214,false
169,Kestrel Bay Memorial Library,Kestrel Bay,PA,central,1888,236050,true
170,Cedar Falls Free Library,Cedar Falls,WI,branch,1887,69472,false
171,Lakemont District Library,Lakemont,AK,bookmobile,1974,4840,true
172,Marbury Community Library,Marbury,GA,branch,1887,8147,true
173,Cranemere Community Library,Cranemere,CA,research,1993,28975,true
174,Umberton Memorial Library,Umberton,NM,branch,2020,11226,false
175,Thornbury Library,Thornbury,TX,bookmobile,1924,1566,true
176,Pinehurst Public Library,Pinehurst,IL,branch,1943,30809,false
177,Orchard Park Library,Orchard Park,NM,branch,1985,61914,false
178,Hartsdale Public Library,Hartsdale,PA,branch,2020,22753,false
179,Quarry Hill Public Library,Quarry Hill,AZ,branch,2005,40660,false
180,Fairhaven District Library,Fairhaven,WA,research,1921,21195,true
181,Linden Grove Free Library,Linden Grove,CO,research,1855,15526,false
182,Ravenna Memorial Library,Ravenna,WI,branch,1987,44284,false
183,Underhill District Library,Underhill,WI,bookmobile,1936,6221,true
184,Inglemere Community Library,Inglemere,WA,branch,1914,74748,true
185,Redstone Community Library,Redstone,NY,bookmobile,2005,4268,false
186,Fairhaven Free Library,Fairhaven,NM,branch,1959,74564,true
187,Juniper Bend Free Library,Juniper Bend,VT,bookmobile,1997,4841,false
188,Marbury Public Library,Marbury,CO,central,1905,144049,false
189,Lakemont Public Library,Lakemont,NY,branch,1906,73746,true
190,Cranemere Public Library,Cranemere,MI,branch,1938,50270,true
191,Brightwater Library,Brightwater,VT,bookmobile,1986,7229,false
192,Saltmarsh Community Library,Saltmarsh,VT,branch,1886,23941,false
193,Northgate Library,Northgate,MA,branch,1912,64364,true
194,Thornbury Memorial Library,Thornbury,CO,central,1946,416047,true
195,Yarrow Creek Community Library,Yarrow Creek,MI,branch,1973,84528,false
196,Lakemont Memorial Library,Lakemont,VT,branch,1902,59393,false
197,Orchard Park Free Library,Orchard Park,OR,branch,1889,84598,false
198,Mosswood District Library,Mosswood,NC,branch,1887,33241,false
199,Eastwick Community Library,Eastwick,PA,central,1929,516522,false
200,Saltmarsh Memorial Library,Saltmarsh,CA,branch,1985,49257,true
